Step;ppg_expanded_looking
180000;0,0
330000;0,0
510000;0,0
660000;0,0
810000;0,0
990000;0,0
1140000;0,0
1290000;0,0
1410000;0,0
1500000;0,0
1590000;0,0
1680000;0,0
1770000;0,0
1860000;0,0
1950000;0,0
2040000;0,0
2130000;0,0
2220000;0,0
2310000;0,0
2400000;0,0
2490000;0,0
2580000;0,0
2700000;0,0
2790000;0,0
2880000;0,0
2970000;0,0
3060000;0,0
3150000;0,0
3240000;0,0
3330000;0,0
3420000;0,0
3510000;0,0
3600000;0,0
3690000;0,0
3780000;0,0
3870000;0,0
3960000;0,0
4050000;0,0
4140000;0,0
4230000;0,0
4350000;0,0
4440000;0,0
4530000;0,0
4620000;0,0
4710000;0,0
4800000;0,0
4890000;0,0
4980000;0,0
5070000;0,0
5160000;0,0
5250000;0,0
5340000;0,0
5460000;0,0
5550000;0,0
5640000;0,0
5730000;0,0
5820000;0,0
5910000;0,0
6000000;0,0
6090000;0,0
6180000;0,0
6270000;0,0
6360000;0,0
6450000;0,0
6570000;0,0
6660000;0,0
6750000;0,0
6840000;0,0
6930000;0,0
7020000;0,0
7110000;0,0
7200000;0,0
7290000;0,0
7380000;0,0
7470000;0,0
7560000;0,0
7680000;0,0
7770000;0,0
7860000;0,0
7950000;0,0
8040000;0,0
8130000;0,0
8220000;0,0
8340000;0,0
8430000;0,0
8520000;0,0
8610000;0,0
8700000;0,0
8790000;0,0
8880000;0,0
8970000;0,0
9090000;0,0
9180000;0,0
9270000;0,0
9360000;0,0
9450000;0,0
9540000;0,0
9630000;0,0
9750000;0,0
9840000;0,0
9930000;0,0
10020000;0,0
10110000;0,0
10200000;0,0
10290000;0,0
10380000;0,0
10500000;0,0
10590000;0,0
10680000;0,0
10770000;0,0
10860000;0,0
10950000;0,0
11040000;0,0
11130000;0,0
11220000;0,0
11310000;0,0
11430000;0,0
11520000;0,0
11610000;0,0
11700000;0,0
11790000;0,0
11880000;0,0
11970000;0,0
12090000;0,0
12180000;0,0
12270000;0,0
12360000;0,0
12450000;0,0
12540000;0,0
12630000;0,0
12750000;0,0
12840000;0,0
12930000;0,0
13020000;0,0
13110000;0,0
13200000;0,0
13290000;0,0
13410000;0,0
13500000;0,0
13590000;0,0
13680000;0,0
13770000;0,0
13860000;0,0
13950000;0,0
14040000;0,0
14160000;0,0
14250000;0,0
14340000;0,0
14430000;0,0
14520000;0,0
14610000;0,0
14700000;0,0
14790000;0,0
14880000;0,0
14970000;0,0
15060000;0,0
15150000;0,0
15240000;0,0
15330000;0,0
15420000;0,0
15510000;0,0
15600000;0,0
15690000;0,0
15780000;0,0
15870000;0,0
15990000;0,0
16080000;0,0
16170000;0,0
16260000;0,0
16350000;0,0
16440000;0,0
16530000;0,0
16620000;0,0
16710000;0,0
16800000;0,0
16890000;0,0
16980000;0,0
17070000;0,0
17160000;0,0
17250000;0,0
17340000;0,0
17430000;0,0
17520000;0,0
17610000;0,0
17700000;0,0
17790000;0,0
17880000;0,0
17970000;0,0
18060000;0,0
18150000;0,0
18240000;0,0
18330000;0,0
18420000;0,0
18510000;0,0
18600000;0,0
18690000;0,0
18780000;0,0
18870000;0,0
18960000;0,0
19050000;0,0
19140000;0,0
19230000;0,0
19320000;0,0
19410000;0,0
19500000;0,0
19590000;0,0
19680000;0,0
19770000;0,0
19860000;0,0
19950000;0,0
20040000;0,0
20130000;0,0
